Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AGBAW,AGBA Acquisition Limited Warrant,$0.255,-0.025,-8.929%,0.00,Hong Kong,2019,8568,Finance,Business Services
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$9.16,-0.32,-3.376%,264642064.00,Hong Kong,2018,88044,Technology,EDP Services
AGRO,Adecoagro S.A. Common Shares,$7.72,-0.09,-1.152%,869970938.00,Luxembourg,2011,1597304,,Farming/Seeds/Milling
AHI,Advanced Human Imaging Limited. American Depositary Shares,$4.32,1.21,38.907%,85871236.00,Australia,2021,35916190,,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,$2.60,0.04,1.563%,61354514.00,China,2019,25376,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,$0.5145,-0.0254,-4.705%,22308112.00,China,2018,492986,Finance,Finance: Consumer Services
AKTX,Akari Therapeutics plc ADS,$1.65,0.02,1.227%,78535576.00,United Kingdom,,135209,Health Care,Biotechnology: Pharmaceutical Preparations
ALAC,Alberton Acquisition Corporation Ordinary Shares,$11.61,0.00,0.00%,52014182.00,Hong Kong,2018,1294,Basic Industries,Engineering & Construction
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,$0.4897,0.00,0.00%,0.00,Hong Kong,2018,7,Basic Industries,Engineering & Construction
ALACU,Alberton Acquisition Corporation Unit,$12.63,0.00,0.00%,0.00,Hong Kong,2018,1,Basic Industries,Engineering & Construction
ALACW,Alberton Acquisition Corporation Warrant,$0.2799,-0.035,-11.115%,0.00,Hong Kong,2018,64824,Basic Industries,Engineering & Construction
ALC,Alcon Inc. Ordinary Shares,$78.66,0.26,0.332%,38551266000.00,Switzerland,2019,498409,Health Care,Ophthalmic Goods
ALKS,Alkermes plc Ordinary Shares,$21.59,-0.33,-1.505%,3491218874.00,Ireland,1991,590356,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,$10.99,-0.48,-4.185%,400098962.00,Israel,2006,110002,Public Utilities,Telecommunications Equipment
ALV,Autoliv Inc. Common Stock,$96.67,0.28,0.29%,8456521461.00,Sweden,,507361,Capital Goods,Auto Parts:O.E.M.
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.19,0.08,7.207%,27656001.00,China,,87847,Miscellaneous,Service to the Health Industry
AMRN,Amarin Corporation plc,$3.655,0.055,1.528%,1446743617.00,Ireland,,4538988,Health Care,Biotechnology: Pharmaceutical Preparations
AMYT,Amryt Pharma plc American Depositary Shares,$9.68,-0.26,-2.616%,615646287.00,United Kingdom,,82596,Health Care,Biotechnology: Pharmaceutical Preparations
ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,$1.62,-0.06,-3.571%,18146203.00,China,2020,246508,Health Care,Medical Specialities
ANTE,AirNet Technology Inc. American Depositary Shares,$2.1223,-0.0177,-0.827%,37767154.00,China,,31210,Technology,Advertising
API,Agora Inc. American Depositary Shares,$18.965,-1.935,-9.258%,2197486688.00,China,2020,636081,Technology,Computer Software: Prepackaged Software
APM,Aptorum Group Limited Class A Ordinary Shares,$1.8294,-0.0606,-3.206%,65175602.00,Hong Kong,2018,83432,Health Care,Biotechnology: Pharmaceutical Preparations
APTV,Aptiv PLC Ordinary Shares,$160.865,0.515,0.321%,43516257131.00,United Kingdom,2011,1194401,Capital Goods,Auto Parts:O.E.M.
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,$180.68,2.15,1.204%,,United Kingdom,,27953,,
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),$2.62,-0.07,-2.602%,36207533.00,Taiwan,,38029,Basic Industries,Telecommunications Equipment
ARBE,Arbe Robotics Ltd. Ordinary Shares,$10.2501,0.2201,2.194%,636894607.00,Israel,,154524,,
ARBEW,Arbe Robotics Ltd. Warrant,$1.68,0.08,5.00%,0.00,Israel,,8102,,
ARBK,Argo Blockchain plc American Depositary Shares,$17.45,-0.60,-3.324%,815058666.00,United Kingdom,2021,477474,,
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,$24.31,0.06,0.247%,0.00,United Kingdom,,13537,,
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,$37.72,-2.03,-5.107%,994318852.00,Israel,2013,456303,Health Care,Biotechnology: Pharmaceutical Preparations
ARGX,argenx SE American Depositary Shares,$284.9115,5.7015,2.042%,14677221906.00,Netherlands,2017,114915,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARQQ,Arqit Quantum Inc. Ordinary Shares,$35.12,-2.94,-7.725%,4216978862.00,United Kingdom,,1404601,,
ARQQW,Arqit Quantum Inc. Warrants,$7.86,-0.355,-4.321%,0.00,United Kingdom,,188384,,
ARVL,Arrival Ordinary Shares,$8.932,-0.458,-4.878%,5685855495.00,Luxembourg,,2716189,Capital Goods,Auto Manufacturing
ASLN,ASLAN Pharmaceuticals Limited American Depositary Shares,$1.275,-0.165,-11.458%,88761945.00,Singapore,2018,540111,Health Care,Biotechnology: Pharmaceutical Preparations
ASML,ASML Holding N.V. New York Registry Shares,$811.3911,19.8811,2.512%,335371627759.00,Netherlands,1995,990069,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,$142.4704,5.4504,3.978%,8103391947.00,Denmark,2015,253852,Health Care,Biotechnology: Pharmaceutical Preparations
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$11.03,0.46,4.352%,175424683.00,Luxembourg,,118589,Finance,Finance: Consumer Services
ATAI,ATAI Life Sciences N.V. Common Shares,$10.86,-0.12,-1.093%,1740835759.00,Germany,2008,200489,,
ATCO,Atlas Corp. Common Shares,$13.215,-0.295,-2.184%,3264205170.00,United Kingdom,,381816,Transportation,Marine Transportation
ATCO^D,Atlas Corp. 7.95% Series D,$25.70,0.01,0.039%,,United Kingdom,,4292,,
ATCO^H,Atlas Corp. 7.875% Series H,$25.35,0.05,0.198%,,United Kingdom,,12140,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,$26.20,-0.30,-1.132%,,United Kingdom,,10920,,
ATCOL,Atlas Corp. 7.125% Notes due 2027,$26.15,-0.0989,-0.377%,0.00,United Kingdom,,100,,
ATHE,Alterity Therapeutics Limited American Depositary Shares,$0.9801,0.0101,1.041%,39316296.00,Australia,,123013,Health Care,Biotechnology: Pharmaceutical Preparations
ATIF,ATIF Holdings Limited Ordinary Shares,$3.20,-0.0161,-0.501%,29316448.00,China,2019,4368,Consumer Services,Professional Services
AU,AngloGold Ashanti Limited Common Stock,$21.235,0.295,1.409%,8862328295.00,South Africa,,3718685,Basic Industries,Precious Metals
AUDC,AudioCodes Ltd. Common Stock,$34.175,-0.485,-1.399%,1104013909.00,Israel,1999,52815,Public Utilities,Telecommunications Equipment
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,$9.9853,-0.0147,-0.147%,346992760.00,United Kingdom,2021,12724,Finance,Business Services
AURCU,Aurora Acquisition Corp. Unit,$10.35,-0.01,-0.097%,0.00,United Kingdom,2021,374,Finance,Finance: Consumer Services
AURCW,Aurora Acquisition Corp. Warrant,$1.49,0.00,0.00%,0.00,United Kingdom,2021,23274,Finance,Finance: Consumer Services
AUTL,Autolus Therapeutics plc American Depositary Share,$6.14,-0.29,-4.51%,447722623.00,United Kingdom,2018,277394,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVDL,Avadel Pharmaceuticals plc American Depositary Shares,$8.57,-0.39,-4.353%,502374154.00,France,,208769,Health Care,Biotechnology: Pharmaceutical Preparations
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$37.57,-0.79,-2.059%,4188200771.00,United Kingdom,2014,408825,Public Utilities,Electric Utilities: Central
AYLA,Ayala Pharmaceuticals Inc. Common Stock,$9.5114,0.0114,0.12%,132543775.00,Israel,2020,11495,Consumer Durables,Specialty Chemicals
AZN,AstraZeneca PLC American Depositary Shares,$54.97,0.14,0.255%,170313204139.00,United Kingdom,,4183580,Health Care,Biotechnology: Pharmaceutical Preparations
AZRE,Azure Power Global Limited Equity Shares,$19.89,-0.71,-3.447%,958763836.00,India,2016,100216,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$122.88,-4.65,-3.646%,333117069312.00,China,2014,23400703,Miscellaneous,Business Services
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,$1.29,0.02,1.575%,37746411.00,China,2021,353116,Miscellaneous,Business Services
BBL,BHP Group PlcSponsored ADR,$54.27,-0.71,-1.291%,137246745761.00,Australia,,2434282,Energy,Coal Mining
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$5.325,0.025,0.472%,35326089543.00,Spain,,3092450,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$9.965,0.065,0.657%,41746161468.00,United Kingdom,,2964126,Finance,Commercial Banks
BCYC,Bicycle Therapeutics plc American Depositary Shares,$55.75,2.00,3.721%,1639033777.00,United Kingdom,2019,280532,Health Care,Biotechnology: Pharmaceutical Preparations
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share,$1.75,-0.16,-8.377%,208586306.00,China,2017,28065,Miscellaneous,Other Consumer Services
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$20.011,0.001,0.005%,23831052774.00,China,2020,9316760,Finance,Real Estate
BFRA,Biofrontera AG American Depositary Shares,$3.816,-0.094,-2.404%,108216769.00,Germany,2018,10973,Health Care,Biotechnology: Pharmaceutical Preparations
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,$0.5025,-0.0249,-4.721%,17658410.00,China,2019,263040,Consumer Non-Durables,Recreational Products/Toys
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$55.44,-0.75,-1.335%,140303115359.00,Australia,,3380945,Basic Industries,Precious Metals
BIDU,Baidu Inc. ADS,$149.59,-0.25,-0.167%,52066097193.00,China,2005,3205908,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$62.73,-3.28,-4.969%,24313353901.00,China,2018,3280852,Technology,EDP Services
BIMI,BIMI International Medical Inc. Common Stock,$0.77,-0.0692,-8.246%,28156321.00,China,,3906361,Health Care,Medical/Nursing Services
BLCT,BlueCity Holdings Limited American Depositary Shares,$1.6802,-0.1298,-7.171%,61974308.00,China,2020,71556,Technology,EDP Services
BLRX,BioLineRx Ltd. American Depositary Shares,$2.605,-0.025,-0.951%,123798071.00,Israel,,279105,Health Care,Biotechnology: Pharmaceutical Preparations
BNR,Burning Rock Biotech Limited American Depositary Shares,$14.40,-1.06,-6.856%,1505498242.00,China,2020,265638,Health Care,Medical Specialities
BNSO,Bonso Electronics International Inc. Common Stock,$4.50,0.03,0.671%,22019054.00,Hong Kong,,3674,Capital Goods,Industrial Machinery/Components
BNTX,BioNTech SE American Depositary Share,$337.325,-14.415,-4.098%,81807031845.00,Germany,2019,3313444,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BON,Bon Natural Life Limited Ordinary Shares,$5.06,-0.19,-3.619%,42149800.00,China,2021,12331,Consumer Services,Real Estate Investment Trusts
BOSC,B.O.S. Better Online Solutions Common Stock,$2.99,-0.23,-7.143%,12910820.00,Israel,,53454,Technology,Computer Communications Equipment
BP,BP p.l.c. Common Stock,$25.865,-0.095,-0.366%,85475105184.00,United Kingdom,,8411780,Energy,Integrated oil Companies
BPTS,Biophytis SA American Depositary Share,$6.011,-0.0931,-1.525%,77546258.00,France,2021,1370,Health Care,Biotechnology: Pharmaceutical Preparations
BRLI,Brilliant Acquisition Corporation Ordinary Shares,$10.1843,0.00,0.00%,62236257.00,China,2020,12,Finance,Business Services
BRLIR,Brilliant Acquisition Corporation Rights,$0.3299,0.00,0.00%,0.00,China,2020,700,Finance,Business Services
BRLIU,Brilliant Acquisition Corporation Unit,$10.97,0.00,0.00%,0.00,China,2020,58,Finance,Business Services
BRLIW,Brilliant Acquisition Corporation Warrants,$0.37,-0.0199,-5.104%,0.00,China,2020,30866,Finance,Business Services
BROG,Brooge Energy Limited Ordinary Shares,$8.952,-0.098,-1.083%,981030469.00,United Kingdom,2018,1392,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.58,-0.0061,-1.041%,0.00,United Kingdom,2018,12760,Energy,Integrated oil Companies
BRQS,Borqs Technologies Inc. Ordinary Shares,$0.49,-0.057,-10.42%,71731415.00,China,2015,1418303,,
BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031,$24.96,0.00,0.00%,0.00,United Kingdom,2016,12535,Finance,Finance/Investors Services
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,$10.27,0.03,0.293%,77410125.00,China,2021,316197,,
BSGAR,Blue Safari Group Acquisition Corp. Right,$0.7011,-0.0489,-6.52%,0.00,China,2021,28554,,
BSGAU,Blue Safari Group Acquisition Corp. Unit,$10.98,0.37,3.487%,0.00,China,2021,25444,,
BSIG,BrightSphere Investment Group Inc. Common Stock,$30.315,0.285,0.949%,2419716865.00,United Kingdom,2014,3872872,Finance,Finance/Investors Services
BSN,Broadstone Acquisition Corp. Class A Ordinary Shares,$9.94,-0.02,-0.201%,379338987.00,United Kingdom,2020,89531,Finance,Business Services
BTB,Bit Brother Limited Ordinary Shares,$0.7695,-0.1067,-12.178%,6113070.00,China,,3766496,,
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$33.865,0.215,0.639%,77708528115.00,United Kingdom,,4466029,Consumer Non-Durables,Farming/Seeds/Milling
BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares,$9.935,-0.015,-0.151%,371320625.00,China,2021,30024,Finance,Business Services
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,$9.8403,0.0003,0.003%,731864332.00,Hong Kong,2020,746639,Finance,Business Services
BTWNU,Bridgetown Holdings Limited Units,$10.205,-0.025,-0.244%,0.00,Hong Kong,2020,1042,Finance,Business Services
BTWNW,Bridgetown Holdings Limited Warrants,$1.11,-0.11,-9.016%,0.00,Hong Kong,2020,172923,Finance,Business Services
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$55.33,-0.39,-0.70%,96114613396.00,Belgium,,1678997,Consumer Non-Durables,Beverages (Production/Distribution)
BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares,$1.6805,-0.0395,-2.297%,24085170.00,Israel,2015,46421,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BWAY,BrainsWay Ltd. American Depositary Shares,$7.69,-0.08,-1.03%,126528891.00,Israel,2019,13127,Health Care,Medical/Dental Instruments
BZ,KANZHUN LIMITED American Depository Shares,$31.911,-0.069,-0.216%,13050923157.00,China,2021,2129661,,
BZUN,Baozun Inc. American Depositary Shares,$14.505,0.715,5.185%,1131735785.00,China,2015,2032706,Consumer Services,Catalog/Specialty Distribution
CAAS,China Automotive Systems Inc. Common Stock,$3.07,0.00,0.00%,94714952.00,China,,27615,Capital Goods,Auto Parts:O.E.M.
CAJ,Canon Inc. American Depositary Shares,$22.305,0.305,1.386%,23325973256.00,Japan,,213110,Miscellaneous,Industrial Machinery/Components
CALT,Calliditas Therapeutics AB American Depositary Shares,$18.01,-0.38,-2.066%,471335964.00,Sweden,2020,54820,Health Care,Biotechnology: Pharmaceutical Preparations
CAMT,Camtek Ltd. Ordinary Shares,$45.93,-0.19,-0.412%,2013649097.00,Israel,2000,314414,Capital Goods,Electronic Components
CAN,Canaan Inc. American Depositary Shares,$8.53,-0.26,-2.958%,1456476226.00,China,2019,2986955,Technology,Semiconductors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.0811,-0.1189,-9.908%,21693940.00,Israel,,155731,Health Care,Biotechnology: Pharmaceutical Preparations
CB,Chubb Limited  Common Stock,$177.27,-2.20,-1.226%,76357506706.00,Switzerland,,1949114,Finance,Property-Casualty Insurers
CBAT,CBAK Energy Technology Inc. Common Stock,$1.86,-0.16,-7.921%,164991330.00,China,,1449851,Capital Goods,Electrical Products
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$49.38,0.01,0.02%,22515107379.00,United Kingdom,,1055483,Consumer Non-Durables,Beverages (Production/Distribution)
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),$2.40,0.14,6.195%,104201347.00,China,2009,183,Health Care,Medical/Nursing Services
CCNC,Code Chain New Continent Limited Common Stock,$1.1655,-0.1345,-10.346%,53702872.00,China,2015,580594,,
CD,Chindata Group Holdings Limited American Depositary Shares,$8.94,-0.52,-5.497%,3242987736.00,China,2020,989841,Finance,Investment Bankers/Brokers/Service
CDRO,Codere Online Luxembourg S.A. Ordinary Shares,$9.11,9.11,,0.00,Luxembourg,,56969,,
CDROW,Codere Online Luxembourg S.A. Warrants,$1.40,1.40,,0.00,Luxembourg,,22261,,
CEA,China Eastern Airlines Corporation Ltd. Common Stock,$17.48,0.0922,0.53%,6598504241.00,China,1997,5866,Transportation,Air Freight/Delivery Services
CGA,China Green Agriculture Inc. Common Stock,$10.5001,1.0501,11.112%,89120953.00,China,,6890,Basic Industries,Agricultural Chemicals
CGEN,Compugen Ltd. Ordinary Shares,$4.345,-0.075,-1.697%,364623402.00,Israel,2000,1004907,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNT,Cognyte Software Ltd. Ordinary Shares,$20.48,0.11,0.54%,1367793070.00,Israel,,174555,Technology,Computer Software: Prepackaged Software
CHEK,Check-Cap Ltd. Ordinary Share,$0.805,-0.0322,-3.846%,37216741.00,Israel,2015,688311,Health Care,Medical Electronics
CHEKZ,Check-Cap Ltd. Series C Warrant,$0.1824,-0.0122,-6.269%,0.00,Israel,,5416,Health Care,Medical Electronics
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$110.37,-0.94,-0.844%,14656938990.00,Israel,1996,727147,Technology,Computer Software: Prepackaged Software
CHNR,China Natural Resources Inc. Common Stock,$0.8821,-0.0202,-2.239%,36120303.00,Hong Kong,,21442,Basic Industries,Precious Metals
CHT,Chunghwa Telecom Co. Ltd.,$40.67,0.57,1.421%,31549536949.00,Taiwan,,154218,Public Utilities,Telecommunications Equipment
CIH,China Index Holdings Limited American Depository Shares,$1.15,0.02,1.77%,103987879.00,China,,17994,Technology,EDP Services
CJJD,China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,$0.485,-0.0307,-5.953%,20249618.00,China,,249779,Health Care,Other Pharmaceuticals
CLB,Core Laboratories N.V. Common Stock,$22.47,-0.42,-1.835%,1040127784.00,Netherlands,1995,445536,Energy,Oilfield Services/Equipment
CLBT,Cellebrite DI Ltd. Ordinary Shares,$7.99,0.19,2.436%,1496217819.00,Israel,,263733,,
CLBTW,Cellebrite DI Ltd. Warrants,$1.75,0.17,10.759%,0.00,Israel,,337887,,
CLEU,China Liberal Education Holdings Limited Ordinary Shares,$1.80,0.05,2.857%,22199999.00,China,2020,174030,Consumer Services,Other Consumer Services
CLGN,CollPlant Biotechnologies Ltd Ordinary Shares,$17.70,0.48,2.787%,175490898.00,Israel,,10809,Health Care,Industrial Specialties
CLLS,Cellectis S.A. American Depositary Shares,$8.80,0.18,2.088%,400182728.00,France,2015,186861,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLPS,CLPS Incorporation Common Stock,$2.50,-0.05,-1.961%,51002050.00,China,2018,69083,Technology,Computer Software: Prepackaged Software
CLWT,Euro Tech Holdings Company Limited Common Stock,$3.4485,0.0385,1.129%,17776186.00,Hong Kong,1997,101789,Capital Goods,Industrial Machinery/Components
CMMB,Chemomab Therapeutics Ltd. American Depositary Share,$8.48,-0.77,-8.324%,96678411.00,Israel,2019,57931,Health Care,Biotechnology: Pharmaceutical Preparations
CMPR,Cimpress plc Ordinary Shares (Ireland),$75.63,-2.20,-2.827%,1973554942.00,Netherlands,,75488,Consumer Services,Recreational Products/Toys
CMPS,COMPASS Pathways Plc American Depository Shares,$32.37,-0.83,-2.50%,1350335493.00,United Kingdom,2020,517476,Health Care,Biotechnology: Pharmaceutical Preparations
CMRE,Costamare Inc. Common Stock $0.0001 par value,$11.26,-0.74,-6.167%,1391398594.00,Greece,2010,842081,Transportation,Marine Transportation
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$25.80,0.1878,0.733%,,Greece,,1262,,
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$25.56,0.1599,0.63%,,Greece,,2314,,
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$26.00,0.0132,0.051%,,Greece,,946,,
CMRE^E,Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001,$26.82,0.12,0.449%,,Greece,,1284,,
CNET,ZW Data Action Technologies Inc. Common Stock,$1.12,-0.02,-1.754%,39572598.00,China,,238131,Technology,Advertising
CNEY,CN Energy Group Inc. Ordinary Shares,$2.95,0.04,1.375%,59941864.00,China,2021,349074,Basic Industries,Major Chemicals
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$12.515,0.665,5.612%,1125109964.00,United Kingdom,2021,332949,,
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,$4.3954,0.0454,1.044%,252662580.00,China,2021,280989,Health Care,Biotechnology: Pharmaceutical Preparations
CNTG,Centogene N.V. Common Shares,$6.27,-0.38,-5.714%,141145487.00,Germany,2019,41101,Health Care,Medical Specialities
CO,Global Cord Blood Corporation Common Stock,$4.00,0.01,0.251%,486204300.00,Hong Kong,,49400,Health Care,Managed Health Care
COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares,$1.655,-0.005,-0.301%,35589635.00,China,2016,130174,Miscellaneous,Service to the Health Industry
CPHI,China Pharma Holdings Inc. Common Stock,$0.565,-0.055,-8.871%,26746850.00,China,,472676,Health Care,Biotechnology: Pharmaceutical Preparations
CPLP,Capital Product Partners L.P. Common Units,$15.39,-0.97,-5.929%,281201309.00,Greece,2007,127655,Transportation,Marine Transportation
CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares,$1.865,-0.185,-9.024%,44853250.00,China,2021,106447,,
CPRI,Capri Holdings Limited Ordinary Shares,$59.265,0.045,0.076%,8916938411.00,Hong Kong,2011,1188119,Consumer Non-Durables,Apparel
CREG,China Recycling Energy Corporation Common Stock,$5.60,-0.32,-5.405%,38790091.00,China,,60180,,
CRH,CRH PLC American Depositary Shares,$48.33,-0.35,-0.719%,37335846750.00,Ireland,,347810,Capital Goods,Building Materials
CRNT,Ceragon Networks Ltd. Ordinary Shares,$2.67,0.04,1.521%,222893234.00,Israel,,833772,Technology,Radio And Television Broadcasting And Communications Equipment
CRSP,CRISPR Therapeutics AG Common Shares,$75.63,-4.27,-5.344%,5787734287.00,Switzerland,2016,1211149,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A. American Depositary Shares,$37.03,-0.53,-1.411%,2248545399.00,France,2013,180995,Technology,Advertising
CS,Credit Suisse Group American Depositary Shares,$9.535,-0.075,-0.78%,22808744450.00,Switzerland,,5258004,Finance,Investment Bankers/Brokers/Service
CSIQ,Canadian Solar Inc. Common Shares (BC),$36.88,-1.06,-2.794%,2212713074.00,China,2006,745598,,
CSTE,Caesarstone Ltd. Ordinary Shares,$10.78,-0.39,-3.491%,371587085.00,Israel,2012,139818,Capital Goods,Multi-Sector Companies
CSTM,Constellium SE Ordinary Shares (France),$16.9648,-0.6052,-3.445%,2403528179.00,Netherlands,2013,380446,Basic Industries,Metal Fabrications
CTRM,Castor Maritime Inc. Common Shares,$1.765,-0.125,-6.614%,166986805.00,Cyprus,,2105510,Transportation,Marine Transportation
CVAC,CureVac N.V. Ordinary Shares,$43.675,-4.545,-9.426%,8159764043.00,Germany,2020,654341,Health Care,Biotechnology: Pharmaceutical Preparations
CYAD,Celyad Oncology SA American Depositary Shares,$3.64,0.02,0.552%,58582000.00,Belgium,2015,6836,Health Care,Biotechnology: Pharmaceutical Preparations
CYBR,CyberArk Software Ltd. Ordinary Shares,$167.005,-5.845,-3.382%,6640062352.00,Israel,2014,279650,Technology,Computer Software: Prepackaged Software
CYD,China Yuchai International Limited Common Stock,$11.75,-0.10,-0.844%,480084908.00,Singapore,1994,23800,Capital Goods,Construction/Ag Equipment/Trucks
DAC,Danaos Corporation Common Stock,$65.805,-2.885,-4.20%,1355364527.00,Greece,2006,369826,Transportation,Marine Transportation
DADA,Dada Nexus Limited American Depositary Shares,$17.83,-0.24,-1.328%,4171009468.00,China,2020,1312876,Consumer Services,Department/Specialty Retail Stores
DB,Deutsche Bank AG Common Stock,$12.08,0.06,0.499%,25307600000.00,Germany,,3078466,Finance,Commercial Banks
DBVT,DBV Technologies S.A. American Depositary Shares,$2.85,-0.15,-5.00%,312988066.00,France,2014,120601,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,$15.6989,-0.0311,-0.198%,777934499.00,South Korea,2021,5894,Technology,EDP Services
DEO,Diageo plc Common Stock,$202.58,-0.59,-0.29%,118058393790.00,United Kingdom,,292710,Consumer Non-Durables,Beverages (Production/Distribution)
DHT,DHT Holdings Inc.,$5.20,-0.35,-6.306%,866776981.00,Jersey,2005,1944160,Transportation,Marine Transportation
DKDCA,Data Knights Acquisition Corp. Class A Common Stock,$10.07,0.00,0.00%,150649969.00,United Kingdom,2021,55,,
DKDCU,Data Knights Acquisition Corp. Unit,$10.50,-0.01,-0.095%,0.00,United Kingdom,2021,1397,,
DKDCW,Data Knights Acquisition Corp. Warrant,$0.4848,0.0148,3.149%,0.00,United Kingdom,2021,7980,,
DLNG,Dynagas LNG Partners LP Common Units,$3.09,0.08,2.658%,113718943.00,Greece,,22205,,
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$25.3188,0.0815,0.323%,,Greece,,3003,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,$25.04,-0.05,-0.199%,,Greece,,5087,,
DOGZ,Dogness (International) Corporation Class A Common Stock,$4.38,0.10,2.336%,139296851.00,China,2017,435480,Consumer Durables,Miscellaneous manufacturing industries
DOX,Amdocs Limited Ordinary Shares,$68.85,-0.97,-1.389%,8716754250.00,Guernsey,,544746,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,$2.565,-0.215,-7.734%,832111111.00,China,2019,2173223,Technology,Computer Software: Programming Data Processing
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,$54.40,-2.94,-5.127%,3999138752.00,China,2010,1125362,Technology,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,$8.83,-0.38,-4.126%,755065477.00,South Africa,,155929,Basic Industries,Precious Metals
DRIO,DarioHealth Corp. Common Stock,$14.87,-0.76,-4.862%,246479663.00,Israel,,141285,Health Care,Medical/Dental Instruments
DSAC,Duddell Street Acquisition Corp. Class A Ordinary Shares,$9.90,0.00,0.00%,216562500.00,Hong Kong,2020,20879,Finance,Business Services
DSACU,Duddell Street Acquisition Corp. Unit,$10.37,-0.31,-2.903%,0.00,Hong Kong,2020,5210,Finance,Business Services
DSACW,Duddell Street Acquisition Corp. Warrant,$1.34,-0.06,-4.286%,0.00,Hong Kong,2020,8688,Finance,Business Services
DSWL,Deswell Industries Inc. Common Shares,$4.61,-0.12,-2.537%,73461452.00,Macau,1995,11699,Consumer Non-Durables,Plastic Products
DSX,Diana Shipping inc. common stock,$3.895,-0.305,-7.262%,356528833.00,Greece,2005,1099974,Transportation,Marine Transportation
